Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4hjbxjZpJ8H6qRCzDOGI0M,"Sick of Losing Soulmates","Sick of Losing Soulmates","dodie",2016-10-14,267377,47,true,69oh5k00ex7bpgk11ozuiftdn,2021-10-01T10:12:36Z,"","Independent",0.492,0.236,2,-17.224,1,0.0359,0.723,0.159,0.351,0.151,75.102,4
spotify:track:4BpimC3NIn1MwaviNUJzdN,"creatingishard.wav","creatingishard.wav","Kerrin Connolly",2021-09-26,72102,3,true,69oh5k00ex7bpgk11ozuiftdn,2021-10-01T10:14:26Z,"","Tarantucat Records",0.638,0.455,5,-11.942,1,0.384,0.41,0,0.121,0.806,150.129,4
spotify:track:6hhReug9q3mfZO6sP1RGGz,"Soap","Hazards","Penelope Scott",2021-08-27,209533,38,true,69oh5k00ex7bpgk11ozuiftdn,2021-10-01T10:15:59Z,"","Penelope Scott and Many Hats Distribution",0.295,0.477,3,-13.234,1,0.0617,0.877,0.126,0.308,0.348,99.685,4
spotify:track:6Z7sGSIlWCKhJjjTFGpiXV,"Bad Advice","Hazards","Penelope Scott",2021-08-27,144146,38,true,69oh5k00ex7bpgk11ozuiftdn,2021-10-01T10:17:59Z,"","Penelope Scott and Many Hats Distribution",0.446,0.38,7,-10.481,1,0.0376,0.814,0.00000755,0.12,0.381,108.106,4
spotify:track:3sslYZcFKtUvIEWN9lADgr,"First Love/Late Spring","Bury Me At Makeout Creek","Mitski",2014-11-11,278640,76,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-05T01:00:39Z,"","Dead Oceans",0.445,0.543,0,-8.196,1,0.0272,0.000825,0.0137,0.202,0.102,99.963,4
spotify:track:776AftMmFFAWUIEAb3lHhw,"ZITTI E BUONI","Teatro d'ira - Vol. I","Måneskin",2021-03-19,194786,72,true,69oh5k00ex7bpgk11ozuiftdn,2021-10-14T15:10:14Z,"","RCA Records Label",0.625,0.939,4,-3.115,0,0.0669,0.00138,0,0.424,0.644,102.999,4
spotify:track:29bhnde7Gvnp7rvY9zsq5S,"SHUM","SHUM","Go_A",2021-08-04,172675,60,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-15T02:05:16Z,"","Universal Music Polska Sp. z o.o.",0.527,0.736,4,-5.341,1,0.0638,0.05,0.0000789,0.105,0.503,117.657,4
spotify:track:3Fn9orcpHw3TuqfB2NmZGC,"Perfume","Pebble Brain","Lovejoy",2021-10-14,207009,0,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-15T02:07:50Z,"","Anvil Cat Records",0.623,0.788,8,-7.777,1,0.0415,0.000247,0.271,0.0978,0.955,121.974,4
spotify:track:6Jmcp9lvqThYqwJc033uWS,"You'll Understand When You're Older","Pebble Brain","Lovejoy",2021-10-14,232177,0,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-15T02:19:27Z,"","Anvil Cat Records",0.532,0.727,8,-8.618,1,0.0855,0.000522,0.0261,0.221,0.678,163.991,4
spotify:track:1WeNLbQCDJ1JnF5LjReC8t,"BlackBoxWarrior - OKULTRA","The Normal Album","Will Wood",2020-07-10,294138,48,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-15T05:27:43Z,"","Will Wood",0.606,0.916,2,-7.051,1,0.106,0.108,0.000022,0.136,0.583,161.121,4
